name,vertices,edges,chromatic_number,image_path,leap_1_structure,leap_1_order,leap_2_structure,leap_2_order
Beineke graph 4,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_144.png,C2,2,1,1
7‐matchstick graph 24,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_145.png,C2,2,1,1
8‐matchstick graph 12,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_146.png,(S3 x S3) : C2,72,S3 x S3,36
8‐matchstick graph 3,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_147.png,D4,8,C2 x C2,4
cis‐square with two triangles,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_148.png,C3 x S3,18,C3 x C3,9
"(1,5)‐fan graph",6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_149.png,(S3 x S3) : C2,72,S3 x S3,36
6‐Hamilton‐laceable graph 1,6,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_150.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 106,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_151.png,D4,8,C2 x C2,4
6‐graph 109,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_152.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 108,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_153.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 110,6,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_154.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 104,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_155.png,D4,8,C2 x C2,4
3‐dipyramid and singleton,6,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_156.png,1,1,1,1
6‐graph 102,6,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_157.png,D4,8,C2 x C2,4
6‐graph 105,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_158.png,D4,8,C2 x C2,4
6‐graph 95,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_159.png,(S3 x S3) : C2,72,S3 x S3,36
2‐triangular grid graph,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_160.png,C3 x S3,18,C3 x C3,9
6‐graph 96,6,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_161.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 111,6,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_162.png,(S3 x S3) : C2,72,S3 x S3,36
utility graph,6,9,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_163.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 114,6,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_164.png,(S3 x S3) : C2,72,S3 x S3,36
6‐graph 112,6,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_165.png,(S3 x S3) : C2,72,S3 x S3,36
"(1,2,3)‐complete tripartite graph",6,11,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_166.png,(S3 x S3) : C2,72,S3 x S3,36
"(1,1,1,3)‐complete 4‐partite graph",6,12,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_167.png,(S3 x S3) : C2,72,S3 x S3,36
two triangles,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_168.png,C3 x C3,9,C3 x C3,9
7‐matchstick graph 8,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_169.png,D4,8,C2 x C2,4
3‐barbell graph,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_170.png,S6,720,S6,720
2‐path and tetrahedron,6,7,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_171.png,C2 x S4,48,S4,24
8‐matchstick graph 19,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_172.png,S6,720,S6,720
"(4,2)‐lollipop graph",6,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_173.png,C2 x S4,48,S4,24
6‐graph 123,6,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_174.png,S6,720,S6,720
trans‐square with two triangles,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_175.png,S6,720,S6,720
6‐graph 128,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_176.png,S6,720,S6,720
Beineke graph 5,6,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_177.png,C2 x S4,48,S4,24
Beineke graph 8,6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_178.png,S6,720,S6,720
6‐graph 124,6,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_179.png,S6,720,S6,720
